,status_group
270,non functional
271,non functional
272,functional
273,functional
274,functional
275,non functional
276,functional
277,non functional
278,functional
279,functional needs repair
280,functional
281,functional
282,functional
283,non functional
284,functional needs repair
285,functional
286,non functional
287,functional
288,functional
289,non functional
290,non functional
291,non functional
292,functional
293,functional
294,functional
295,functional
296,non functional
297,non functional
298,non functional
299,non functional
300,functional
301,functional
302,functional
303,non functional
304,functional
305,non functional
306,functional
307,functional needs repair
308,functional needs repair
309,non functional
310,non functional
311,non functional
312,non functional
313,non functional
314,non functional
315,non functional
316,functional
317,non functional
318,non functional
319,functional needs repair
320,functional needs repair
321,functional needs repair
322,functional
323,non functional
324,functional
325,non functional
326,functional
327,functional
328,functional
329,non functional
330,non functional
331,functional
332,functional
333,functional
334,functional
335,functional
336,non functional
337,non functional
338,functional
339,functional
340,functional
341,functional
342,non functional
343,functional
344,functional
345,non functional
346,functional
347,non functional
348,functional
349,functional
350,functional
351,functional
352,functional needs repair
353,functional
354,functional needs repair
355,functional needs repair
356,non functional
357,functional needs repair
358,non functional
359,functional
360,non functional
361,non functional
362,functional
363,functional
364,non functional
365,functional
366,functional
367,functional
368,functional
369,functional
370,functional
371,functional
372,functional
373,functional
374,non functional
375,non functional
376,functional
377,functional needs repair
378,functional needs repair
379,functional
380,functional
381,functional needs repair
382,functional
383,functional
384,functional
385,functional
386,non functional
387,non functional
388,functional
389,functional
390,functional
391,non functional
392,functional
393,non functional
394,non functional
395,functional
396,functional
397,non functional
398,non functional
399,functional
400,non functional
401,functional
402,functional
403,non functional
404,non functional
405,functional
406,functional
407,functional
408,functional needs repair
409,functional
410,non functional
411,non functional
412,non functional
413,functional
414,functional needs repair
415,non functional
416,functional
417,non functional
418,functional
419,functional
420,functional
421,functional
422,non functional
423,functional
424,non functional
425,non functional
426,non functional
427,non functional
428,non functional
429,functional
430,functional
431,non functional
432,functional
433,functional
434,functional needs repair
435,non functional
436,functional
437,non functional
438,non functional
439,functional
440,non functional
441,non functional
442,functional needs repair
443,functional
444,functional
445,functional needs repair
446,functional
447,functional
448,functional
449,functional
450,non functional
451,functional
452,functional
453,non functional
454,functional
455,functional
456,non functional
457,functional
458,functional
459,functional
460,functional
461,non functional
462,functional
463,functional
464,functional
465,functional
466,non functional
467,functional
468,non functional
469,non functional
470,functional
471,non functional
472,functional
473,functional
474,functional
475,non functional
476,functional
477,functional
478,non functional
479,functional
480,functional needs repair
481,functional
482,functional needs repair
483,non functional
484,functional
485,non functional
486,non functional
487,non functional
488,functional
489,non functional
490,functional
491,functional
492,functional needs repair
493,functional
494,non functional
495,non functional
496,functional needs repair
497,functional
498,non functional
499,non functional
500,functional
501,functional
502,non functional
503,non functional
504,non functional
505,non functional
506,non functional
507,functional
508,non functional
509,functional
510,non functional
511,functional needs repair
512,functional
513,functional
514,functional
515,non functional
516,functional
517,functional
518,functional
519,functional
520,functional
521,functional
522,functional
523,non functional
524,functional
525,non functional
526,non functional
527,functional
528,functional
529,functional
530,functional
531,functional
532,non functional
533,functional
534,functional
535,non functional
536,functional
537,non functional
538,non functional
539,non functional
540,non functional
541,functional
542,non functional
543,functional
544,functional
545,non functional
546,functional
547,non functional
548,functional needs repair
549,non functional
550,functional
551,non functional
552,functional
553,functional
554,functional
555,non functional
556,functional
557,functional
558,functional
559,functional needs repair
560,functional
561,functional
562,functional
563,non functional
564,non functional
565,non functional
566,functional
567,functional
568,functional
569,functional
570,non functional
571,functional
572,functional
573,functional needs repair
574,non functional
575,non functional
576,non functional
577,non functional
578,non functional
579,functional
580,non functional
581,functional
582,functional
583,functional
584,non functional
585,non functional
586,non functional
587,non functional
588,functional
589,non functional
590,non functional
591,functional
592,non functional
593,non functional
594,non functional
595,functional needs repair
596,functional needs repair
597,functional
598,functional
599,functional
600,functional
601,functional
602,non functional
603,non functional
604,functional
605,non functional
606,functional
607,functional
608,non functional
609,non functional
610,functional needs repair
611,non functional
612,functional
613,functional
614,functional
615,functional
616,non functional
617,non functional
618,functional needs repair
619,functional
620,functional
621,functional
622,functional
623,functional
624,functional
625,functional
626,non functional
627,functional
628,functional
629,non functional
630,functional
631,functional needs repair
632,non functional
633,non functional
634,functional
635,non functional
636,non functional
637,functional
638,non functional
639,functional
640,non functional
641,functional
642,functional
643,functional needs repair
644,non functional
645,non functional
646,functional
647,functional
648,non functional
649,functional
650,functional
651,non functional
652,functional
653,functional
654,functional needs repair
655,functional needs repair
656,non functional
657,functional
658,non functional
659,functional needs repair
660,non functional
661,functional
662,non functional
663,functional
664,non functional
665,functional
666,functional
667,functional
668,non functional
669,functional
670,functional
671,non functional
672,functional
673,functional
674,non functional
675,functional
676,functional
677,functional
678,non functional
679,functional
680,functional needs repair
681,non functional
682,functional
683,functional
684,functional
685,non functional
686,functional
687,functional
688,functional
689,non functional
690,non functional
691,functional needs repair
692,functional
693,non functional
694,functional
695,functional
696,non functional
697,functional
698,non functional
699,functional
700,functional
701,non functional
702,non functional
703,functional
704,functional
705,functional
706,non functional
707,functional
708,non functional
709,functional
710,non functional
711,functional
712,functional needs repair
713,functional
714,non functional
715,non functional
716,non functional
717,functional
718,non functional
719,functional
720,functional
721,functional
722,non functional
723,non functional
724,non functional
725,non functional
726,functional
727,functional
728,functional
729,functional
730,non functional
731,non functional
732,functional
733,functional needs repair
734,functional
735,functional
736,non functional
737,functional
738,functional needs repair
739,functional needs repair
740,functional
741,functional
742,functional needs repair
743,functional
744,non functional
745,non functional
746,functional
747,functional
748,functional
749,non functional
750,non functional
751,functional
752,functional
753,functional
754,functional
755,functional
756,functional
757,non functional
758,non functional
759,functional
760,functional
761,functional
762,non functional
763,functional needs repair
764,functional needs repair
765,functional
766,non functional
767,non functional
768,functional
769,functional needs repair
770,functional needs repair
771,functional
772,non functional
773,functional
774,functional
775,functional needs repair
776,non functional
777,non functional
778,non functional
779,non functional
780,non functional
781,functional
782,functional
783,functional
784,functional
785,functional
786,functional
787,non functional
788,functional
789,non functional
790,functional
791,functional
792,functional
793,non functional
794,non functional
795,functional
796,functional
797,functional
798,functional
799,functional
800,non functional
801,non functional
802,functional
803,non functional
804,functional
805,functional
806,non functional
807,functional
808,non functional
809,non functional
810,non functional
811,non functional
812,non functional
813,functional
814,non functional
815,non functional
816,non functional
817,functional needs repair
818,non functional
819,functional
820,functional
821,functional
822,non functional
823,functional
824,non functional
825,functional
826,non functional
827,non functional
828,non functional
829,functional
830,functional
831,non functional
832,functional
833,functional
834,functional
835,non functional
836,functional
837,functional
838,non functional
839,functional needs repair
840,functional
841,functional
842,non functional
843,functional
844,functional
845,non functional
846,functional
847,functional
848,functional
849,functional
850,non functional
851,functional
852,non functional
853,functional needs repair
854,non functional
855,functional
856,functional
857,functional
858,functional
859,functional
860,non functional
861,non functional
862,non functional
863,non functional
864,non functional
865,functional
866,functional
867,functional
868,non functional
869,functional
870,functional needs repair
871,functional
872,non functional
873,functional
874,functional
875,functional
876,functional
877,functional
878,functional
879,non functional
880,functional
881,functional
882,functional
883,non functional
884,non functional
885,functional
886,functional
887,functional
888,functional
889,non functional
890,non functional
891,functional
892,functional
893,functional
894,non functional
895,non functional
896,functional
897,functional
898,functional
899,functional
900,non functional
901,functional
902,non functional
903,functional
904,functional
905,non functional
906,functional
907,functional
908,functional
909,functional
910,functional
911,functional needs repair
912,functional
913,functional
914,non functional
915,non functional
916,functional
917,functional needs repair
918,non functional
919,functional
920,non functional
921,non functional
922,non functional
923,non functional
924,non functional
925,functional
926,functional
927,functional
928,functional
929,non functional
930,functional
931,functional
932,non functional
933,non functional
934,functional needs repair
935,functional
936,functional
937,non functional
938,functional
939,functional
940,non functional
941,non functional
942,functional
943,non functional
944,non functional
945,functional
946,functional
947,functional
948,non functional
949,non functional
950,functional
951,functional
952,non functional
953,functional
954,functional
955,non functional
956,non functional
957,functional
958,non functional
959,functional
960,non functional
961,non functional
962,functional
963,non functional
964,non functional
965,non functional
966,functional
967,functional
968,non functional
969,functional
970,functional
971,functional
972,non functional
973,non functional
974,non functional
975,non functional
976,functional
977,functional
978,functional
979,functional
980,non functional
981,functional
982,non functional
983,non functional
984,functional
985,functional
986,functional
987,non functional
988,functional needs repair
989,functional
990,functional
991,functional
992,functional
993,functional
994,non functional
995,functional
996,non functional
997,non functional
998,functional
999,functional
1000,functional
1001,non functional
1002,functional
1003,functional
1004,functional needs repair
1005,functional
1006,functional
1007,functional
1008,non functional
1009,non functional
1010,functional
1011,functional
1012,functional needs repair
1013,functional
1014,functional
1015,functional
1016,non functional
1017,non functional
1018,non functional
1019,non functional
1020,non functional
1021,functional
1022,functional
1023,functional
1024,non functional
1025,functional
1026,non functional
1027,functional
1028,non functional
1029,non functional
1030,functional
1031,non functional
1032,non functional
1033,non functional
1034,non functional
1035,non functional
1036,non functional
1037,functional needs repair
1038,functional
1039,functional
1040,functional
1041,functional
1042,functional
1043,functional needs repair
1044,non functional
1045,functional
1046,functional
1047,non functional
1048,functional
1049,non functional
1050,non functional
1051,non functional
1052,functional
1053,non functional
1054,functional
1055,non functional
1056,functional
1057,non functional
1058,functional
1059,non functional
1060,non functional
1061,functional
1062,functional
1063,functional
1064,functional needs repair
1065,functional
1066,functional
1067,functional
1068,functional
1069,non functional
1070,functional
1071,functional
1072,non functional
1073,functional
1074,non functional
1075,functional
1076,functional
1077,functional
1078,functional
1079,non functional
1080,non functional
1081,non functional
1082,functional
1083,non functional
1084,non functional
1085,functional
1086,non functional
1087,non functional
1088,functional
1089,non functional
1090,functional
1091,non functional
1092,functional
1093,non functional
1094,functional
1095,functional
1096,non functional
1097,non functional
1098,functional
1099,functional
1100,functional
1101,functional
1102,non functional
1103,functional
1104,functional
1105,functional
1106,non functional
1107,non functional
1108,functional
1109,functional
1110,functional
1111,functional
1112,functional
1113,functional
1114,functional
1115,functional
1116,functional
1117,functional
1118,functional
1119,functional needs repair
1120,non functional
1121,functional
1122,functional
1123,non functional
1124,functional
1125,non functional
1126,non functional
1127,functional
1128,functional
1129,non functional
1130,functional
1131,functional
1132,functional
1133,functional
1134,functional
1135,functional
1136,functional
1137,functional
1138,non functional
1139,non functional
1140,functional
1141,functional
1142,functional
1143,functional
1144,non functional
1145,functional
1146,non functional
1147,functional
1148,non functional
1149,non functional
1150,non functional
1151,non functional
1152,functional
1153,functional
1154,functional
1155,functional
1156,functional needs repair
1157,functional
1158,non functional
1159,functional
1160,functional
1161,non functional
1162,functional
1163,functional
1164,functional
1165,functional
1166,functional
1167,functional
1168,functional
1169,functional
1170,functional
1171,non functional
1172,functional
1173,functional
1174,non functional
1175,non functional
1176,non functional
1177,functional
1178,non functional
1179,non functional
1180,non functional
1181,non functional
1182,non functional
1183,non functional
1184,functional
1185,non functional
1186,non functional
1187,functional
1188,non functional
1189,non functional
1190,functional
1191,functional
1192,functional
1193,non functional
1194,non functional
1195,non functional
1196,functional
1197,functional
1198,non functional
1199,functional
1200,functional
1201,functional
1202,functional
1203,functional
1204,non functional
1205,non functional
1206,non functional
1207,non functional
1208,non functional
1209,non functional
1210,functional
1211,functional
1212,functional needs repair
1213,non functional
1214,non functional
1215,non functional
1216,functional
1217,functional
1218,non functional
1219,non functional
1220,functional
1221,non functional
1222,non functional
1223,functional
1224,functional
1225,functional
1226,non functional
1227,functional needs repair
1228,non functional
1229,non functional
1230,functional
1231,non functional
1232,functional
1233,non functional
1234,functional
1235,non functional
1236,non functional
1237,non functional
1238,non functional
1239,non functional
1240,non functional
1241,functional
1242,functional
1243,functional
1244,functional
1245,non functional
1246,non functional
1247,functional
1248,functional
1249,functional needs repair
1250,functional
1251,functional
1252,non functional
1253,non functional
1254,functional
1255,functional
1256,functional needs repair
1257,functional needs repair
1258,functional
1259,functional
1260,functional
1261,functional
1262,functional
1263,non functional
1264,non functional
1265,functional
1266,non functional
1267,functional
1268,non functional
1269,functional needs repair
1270,functional
1271,functional
1272,non functional
1273,non functional
1274,non functional
1275,non functional
1276,functional
1277,non functional
1278,functional
1279,functional
1280,non functional
1281,functional
1282,functional
1283,functional needs repair
1284,functional
1285,functional
1286,non functional
1287,non functional
1288,functional
1289,functional
1290,functional
1291,functional needs repair
1292,non functional
1293,non functional
1294,non functional
1295,non functional
1296,functional
1297,functional
1298,functional
1299,non functional
1300,non functional
1301,non functional
1302,non functional
1303,non functional
1304,non functional
1305,functional
1306,functional
1307,functional
1308,functional
1309,functional
1310,non functional
1311,functional
1312,functional
1313,functional
1314,functional needs repair
1315,functional
1316,functional
1317,functional needs repair
1318,non functional
1319,functional
1320,non functional
1321,non functional
1322,functional
1323,non functional
1324,functional
1325,non functional
1326,functional
1327,non functional
1328,functional
1329,non functional
1330,functional
1331,functional
1332,functional
1333,non functional
1334,functional
1335,non functional
1336,non functional
1337,non functional
1338,functional
1339,non functional
1340,functional
1341,functional
1342,functional
1343,functional needs repair
1344,non functional
1345,non functional
1346,functional
1347,non functional
1348,functional
1349,functional
1350,non functional
1351,non functional
1352,functional
1353,functional
1354,non functional
1355,functional
1356,functional
1357,functional
1358,functional
1359,functional
1360,functional
1361,non functional
1362,functional
1363,non functional
1364,functional
1365,functional
1366,functional
1367,functional
1368,non functional
1369,functional
1370,functional
1371,functional
1372,non functional
1373,functional
1374,non functional
1375,functional
1376,functional needs repair
1377,functional needs repair
1378,functional
1379,non functional
1380,non functional
1381,functional
1382,functional
1383,functional
1384,non functional
1385,functional
1386,functional
1387,functional
1388,functional
1389,functional
1390,functional
1391,functional
1392,functional
1393,functional
1394,non functional
1395,functional
1396,functional
1397,functional
1398,functional
1399,non functional
1400,functional
1401,functional
1402,functional
1403,functional
1404,functional
1405,functional
1406,functional
1407,non functional
1408,non functional
1409,functional
1410,functional
1411,functional needs repair
1412,functional
1413,non functional
1414,functional
1415,functional
1416,functional
1417,non functional
1418,non functional
1419,non functional
1420,functional
1421,functional
1422,functional
1423,functional needs repair
1424,non functional
1425,functional
1426,functional
1427,non functional
1428,non functional
1429,functional
1430,non functional
1431,functional
1432,non functional
1433,functional
1434,functional
1435,non functional
1436,functional
1437,functional
1438,non functional
1439,functional
1440,non functional
1441,functional
1442,non functional
1443,non functional
1444,functional
1445,non functional
1446,non functional
1447,non functional
1448,functional
1449,functional
1450,functional
1451,non functional
1452,functional
1453,non functional
1454,functional
1455,functional
1456,functional
1457,non functional
1458,non functional
1459,non functional
1460,non functional
1461,non functional
1462,non functional
1463,functional
1464,functional
1465,functional
1466,non functional
1467,functional
1468,functional
1469,non functional
1470,functional
1471,functional
1472,non functional
1473,functional
1474,non functional
1475,non functional
1476,non functional
1477,non functional
1478,functional
1479,functional
1480,non functional
1481,functional
1482,functional
1483,functional needs repair
1484,non functional
1485,functional
1486,non functional
1487,functional
1488,functional
1489,functional
1490,non functional
1491,non functional
1492,non functional
1493,non functional
1494,non functional
1495,non functional
1496,functional
1497,functional
1498,functional
1499,functional
1500,functional
1501,functional
1502,non functional
1503,functional needs repair
1504,non functional
1505,non functional
1506,functional
1507,non functional
1508,functional
1509,non functional
1510,non functional
1511,functional
1512,functional
1513,functional
1514,functional
1515,functional
1516,non functional
1517,functional
1518,non functional
1519,functional
1520,non functional
1521,non functional
1522,functional
1523,functional
1524,non functional
1525,non functional
1526,functional
1527,non functional
1528,functional needs repair
1529,functional
1530,functional
1531,functional
1532,functional
1533,non functional
1534,non functional
1535,non functional
1536,functional
1537,functional
1538,functional
1539,non functional
1540,non functional
1541,functional
1542,functional needs repair
1543,non functional
1544,non functional
1545,non functional
1546,functional needs repair
1547,functional
1548,non functional
1549,non functional
1550,non functional
1551,functional
1552,non functional
1553,functional
1554,functional
1555,non functional
1556,non functional
1557,non functional
1558,functional
1559,functional
1560,non functional
1561,non functional
1562,functional
1563,non functional
1564,non functional
1565,functional
1566,non functional
1567,non functional
1568,functional
1569,functional
1570,non functional
1571,non functional
1572,functional
1573,functional
1574,functional needs repair
1575,functional
1576,functional
1577,functional
1578,functional
1579,functional
1580,functional
1581,functional
1582,functional needs repair
1583,functional
1584,functional
1585,non functional
1586,non functional
1587,functional
1588,functional
1589,functional
1590,functional needs repair
1591,non functional
1592,functional
1593,non functional
1594,non functional
1595,non functional
1596,functional
1597,non functional
1598,functional
1599,non functional
1600,functional
1601,functional
1602,non functional
1603,non functional
1604,non functional
1605,non functional
1606,functional
1607,non functional
1608,functional
1609,functional
1610,functional
1611,functional needs repair
1612,functional
1613,non functional
1614,functional
1615,functional needs repair
1616,functional
1617,functional
1618,functional
1619,non functional
1620,functional
1621,functional
1622,non functional
1623,functional
1624,functional needs repair
1625,non functional
1626,functional
1627,non functional
1628,functional needs repair
1629,functional needs repair
1630,functional
1631,non functional
1632,non functional
1633,functional
1634,functional
1635,functional needs repair
1636,functional
1637,functional
1638,non functional
1639,non functional
1640,functional
1641,non functional
1642,non functional
1643,non functional
1644,functional
1645,functional
1646,functional
1647,functional
1648,functional needs repair
1649,functional
1650,non functional
1651,non functional
1652,functional
1653,functional
1654,non functional
1655,functional
1656,functional
1657,functional
1658,functional
1659,functional
1660,non functional
1661,functional needs repair
1662,non functional
1663,functional
1664,non functional
1665,non functional
1666,functional needs repair
1667,functional
1668,functional
1669,functional
1670,non functional
1671,functional needs repair
1672,functional needs repair
1673,functional
1674,functional
1675,non functional
1676,non functional
1677,functional
1678,functional
1679,functional
1680,non functional
1681,non functional
1682,functional
1683,non functional
1684,functional needs repair
1685,functional
1686,functional
1687,functional
1688,non functional
1689,non functional
1690,functional
1691,non functional
1692,non functional
1693,non functional
1694,non functional
1695,non functional
1696,functional
1697,functional
1698,functional needs repair
1699,functional
1700,functional
1701,functional
1702,functional
1703,functional
1704,functional
1705,functional
1706,functional
1707,non functional
1708,functional
1709,functional
1710,functional
1711,functional
1712,functional
1713,non functional
1714,functional needs repair
1715,functional
1716,non functional
1717,non functional
1718,functional
1719,non functional
1720,functional
1721,functional
1722,functional
1723,non functional
1724,functional
1725,functional
1726,non functional
1727,non functional
1728,non functional
1729,functional
1730,functional needs repair
1731,functional
1732,functional
1733,non functional
1734,functional
1735,functional
1736,functional needs repair
1737,functional
1738,non functional
1739,non functional
1740,functional
1741,functional
1742,functional
1743,non functional
1744,non functional
1745,functional
1746,functional
1747,non functional
1748,non functional
1749,non functional
1750,functional
1751,functional
1752,functional
1753,functional
1754,functional
1755,non functional
1756,functional
1757,non functional
1758,functional
1759,functional needs repair
1760,non functional
1761,non functional
1762,non functional
1763,functional
1764,functional
1765,functional
1766,non functional
1767,functional
1768,non functional
1769,functional
1770,functional
1771,functional
1772,functional needs repair
1773,functional
1774,functional
1775,functional needs repair
1776,functional
1777,non functional
1778,non functional
1779,functional
1780,functional
1781,non functional
1782,non functional
1783,functional
1784,functional
1785,non functional
1786,non functional
1787,non functional
1788,non functional
1789,functional
1790,non functional
1791,non functional
1792,functional
1793,functional
1794,non functional
1795,non functional
1796,non functional
1797,functional
1798,functional
1799,functional
1800,non functional
1801,functional
1802,functional
1803,functional
1804,functional
1805,functional
1806,functional needs repair
1807,functional
1808,non functional
1809,functional
1810,non functional
1811,functional
1812,non functional
1813,non functional
1814,non functional
1815,functional
1816,non functional
1817,functional
1818,non functional
1819,functional
1820,functional needs repair
1821,functional
1822,functional needs repair
1823,functional
1824,non functional
1825,functional
1826,non functional
1827,functional
1828,functional
1829,functional
1830,non functional
1831,functional
1832,functional
1833,functional
1834,functional
1835,functional
1836,functional
1837,non functional
1838,functional
1839,functional
1840,non functional
1841,non functional
1842,non functional
1843,non functional
1844,functional
1845,functional
1846,non functional
1847,functional
1848,non functional
1849,non functional
1850,functional
1851,functional needs repair
1852,non functional
1853,non functional
1854,functional
1855,functional needs repair
1856,non functional
1857,functional
1858,non functional
1859,functional needs repair
1860,non functional
1861,functional
1862,functional
1863,functional
1864,functional needs repair
1865,functional
1866,non functional
1867,functional
1868,functional
1869,functional
1870,non functional
1871,functional
1872,non functional
1873,functional
1874,functional
1875,functional
1876,functional
1877,non functional
1878,non functional
1879,functional
1880,functional needs repair
1881,non functional
1882,non functional
1883,non functional
1884,functional
1885,non functional
1886,non functional
1887,non functional
1888,non functional
1889,non functional
1890,non functional
1891,non functional
1892,non functional
1893,non functional
1894,functional
1895,functional
1896,functional
1897,functional
1898,functional
1899,functional
1900,non functional
1901,non functional
1902,non functional
1903,functional
1904,functional
1905,functional needs repair
1906,functional needs repair
1907,functional
1908,functional
1909,functional
1910,functional
1911,non functional
1912,non functional
1913,non functional
1914,non functional
1915,functional needs repair
1916,non functional
1917,functional needs repair
1918,functional needs repair
1919,functional
1920,functional
1921,non functional
1922,functional
1923,functional
1924,functional
1925,functional
1926,non functional
1927,functional
1928,functional needs repair
1929,non functional
1930,functional
1931,functional
1932,non functional
1933,functional
1934,functional
1935,non functional
1936,functional
1937,functional needs repair
1938,functional
1939,functional
1940,functional
1941,functional
1942,functional
1943,functional
1944,non functional
1945,functional
1946,functional
1947,non functional
1948,functional needs repair
1949,non functional
1950,functional needs repair
1951,non functional
1952,functional
1953,non functional
1954,functional
1955,non functional
1956,non functional
1957,functional
1958,functional
1959,functional
1960,functional
1961,functional
1962,non functional
1963,functional
1964,non functional
1965,functional
1966,non functional
1967,functional
1968,non functional
1969,functional needs repair
1970,functional
1971,functional
1972,functional
1973,functional
1974,functional
1975,non functional
1976,functional
1977,functional
1978,non functional
1979,non functional
1980,non functional
1981,functional
1982,non functional
1983,non functional
1984,functional
1985,functional
1986,non functional
1987,functional
1988,functional
1989,functional needs repair
1990,functional
1991,functional needs repair
1992,functional needs repair
1993,functional
1994,non functional
1995,functional
1996,functional
1997,non functional
1998,functional
1999,functional
2000,non functional
2001,functional needs repair
2002,functional needs repair
2003,non functional
2004,non functional
2005,functional
2006,functional
2007,functional
2008,non functional
2009,non functional
2010,non functional
2011,non functional
2012,functional
2013,non functional
2014,functional
2015,functional
2016,functional
2017,non functional
2018,non functional
2019,non functional
2020,non functional
2021,functional needs repair
2022,non functional
2023,functional
2024,functional
2025,functional needs repair
2026,functional
2027,non functional
2028,functional
2029,functional needs repair
2030,non functional
2031,functional
2032,non functional
2033,functional
2034,non functional
2035,functional
2036,functional needs repair
2037,non functional
2038,functional needs repair
2039,functional
2040,non functional
2041,non functional
2042,functional
2043,functional
2044,non functional
2045,functional
2046,non functional
2047,non functional
2048,functional
2049,non functional
2050,functional
2051,functional
2052,functional needs repair
2053,non functional
2054,functional
2055,functional
2056,functional
2057,non functional
2058,functional
2059,functional
2060,functional
2061,non functional
2062,functional needs repair
2063,functional
2064,functional
2065,non functional
2066,non functional
2067,functional
2068,functional
2069,non functional
2070,functional
2071,functional
2072,functional
2073,functional
2074,non functional
2075,functional
2076,functional
2077,functional
2078,functional
2079,functional
2080,functional
2081,functional
2082,functional
2083,functional
2084,non functional
2085,non functional
2086,non functional
2087,non functional
2088,non functional
2089,functional
2090,non functional
2091,non functional
2092,non functional
2093,functional
2094,non functional
2095,non functional
2096,non functional
2097,non functional
2098,non functional
2099,non functional
2100,functional
2101,non functional
2102,non functional
2103,non functional
2104,functional
2105,functional needs repair
2106,functional needs repair
2107,non functional
2108,non functional
2109,functional needs repair
2110,non functional
2111,functional
2112,functional
2113,functional
2114,non functional
2115,functional
2116,functional
2117,functional
2118,functional
2119,functional
2120,functional
2121,functional
2122,functional needs repair
2123,non functional
2124,functional needs repair
2125,functional
2126,non functional
2127,functional
2128,non functional
2129,functional
2130,non functional
2131,non functional
2132,functional
2133,functional
2134,functional
2135,functional
2136,functional
2137,non functional
2138,functional
2139,functional
2140,non functional
2141,non functional
2142,non functional
2143,non functional
2144,non functional
2145,functional
2146,functional
2147,non functional
2148,non functional
2149,functional
2150,non functional
2151,non functional
2152,functional
2153,functional
2154,functional
2155,non functional
2156,functional
2157,functional
2158,non functional
2159,functional
2160,functional
2161,non functional
2162,functional
2163,functional
2164,non functional
2165,non functional
2166,functional
2167,functional needs repair
2168,functional
2169,functional
2170,non functional
2171,non functional
2172,functional
2173,non functional
2174,functional
2175,functional
2176,non functional
2177,functional
2178,functional
2179,non functional
2180,functional
2181,non functional
2182,non functional
2183,functional
2184,non functional
2185,functional
2186,functional
2187,non functional
2188,functional
2189,non functional
2190,functional
2191,functional
2192,functional
2193,functional
2194,functional needs repair
2195,non functional
2196,non functional
2197,functional
2198,functional needs repair
2199,functional
2200,non functional
2201,functional
2202,non functional
2203,functional
2204,non functional
2205,non functional
2206,functional
2207,functional
2208,non functional
2209,non functional
2210,non functional
2211,functional
2212,functional
2213,non functional
2214,non functional
2215,non functional
2216,functional
2217,functional
2218,non functional
2219,non functional
2220,functional needs repair
2221,functional
2222,functional
2223,non functional
2224,functional
2225,functional
2226,functional
2227,functional
2228,functional
2229,functional
2230,non functional
2231,functional
2232,non functional
2233,functional
2234,non functional
2235,functional
2236,functional
2237,functional
